Sat_type,Name,Degree,Coeff_1,Coeff_2
J01,j01_d20210209_t1157061_e1158306_b16729/SVDNB_j01_d20210209_t1157061_e1158306_b16729_c20210209122546283013_oeac_ops.h5,1,1.09E-07,0.056725
Sat_type,Name,Degree,Coeff_1,Coeff_2
J01,j01_d20210209_t1157061_e1158306_b16729/SVDNB_j01_d20210209_t1157061_e1158306_b16729_c20210209122546283013_oeac_ops.h5,1,1,2
Sat_type,Name,Degree,Coeff_1,Coeff_2
