Filename,YMD,Start_time,End_time,id,Degree,Coeff,null
SVDNB_j01_d20190312_t1354359_e1356004_b06799_c20200828182715725710_nobc_ops.h5,20190312,t1354359,e1356004,b06799_c20200828182715725710,3,3.1751e-08; -9.6142e-05; 0.1306;,0
SVDNB_j01_d20190313_t1154406_e1156052_b06812_c20200829001520651198_nobc_ops.h5,20190313,t1154406,e1156052,b06812_c20200829001520651198,3,2.923e-08; -9.5059e-05; 0.12523;,0
SVDNB_j01_d20190313_t1156064_e1157309_b06812_c20200828235613612302_nobc_ops.h5,20190313,t1156064,e1157309,b06812_c20200828235613612302,3,4.0807e-08; -0.00011455; 0.12827;,0
SVDNB_j01_d20190313_t1335408_e1337053_b06813_c20200828220408042545_nobc_ops.h5,20190313,t1335408,e1337053,b06813_c20200828220408042545,3,4.9915e-08; -0.00013882; 0.15025;,0
SVDNB_j01_d20190313_t1337065_e1338292_b06813_c20200828220408042545_nobc_ops.h5,20190313,t1337065,e1338292,b06813_c20200828220408042545,3,0; 0; 0;,0
SVDNB_j01_d20190313_t1156064_e1157309_b06812_c20200828235613612302_nobc_ops.h5,20190313,t1156064,e1157309,b06812_c20200828235613612302,3,4.0807e-08; -0.00011455; 0.12827;,0
SVDNB_j01_d20190313_t1335408_e1337053_b06813_c20200828220408042545_nobc_ops.h5,20190313,t1335408,e1337053,b06813_c20200828220408042545,3,4.9915e-08; -0.00013882; 0.15025;,0
SVDNB_j01_d20190313_t1156064_e1157309_b06812_c20200828235613612302_nobc_ops.h5,20190313,t1156064,e1157309,b06812_c20200828235613612302,3,4.0807e-08; -0.00011455; 0.12827;,0
SVDNB_j01_d20190313_t1335408_e1337053_b06813_c20200828220408042545_nobc_ops.h5,20190313,t1335408,e1337053,b06813_c20200828220408042545,3,4.9915e-08; -0.00013882; 0.15025;,0
SVDNB_j01_d20190313_t1156064_e1157309_b06812_c20200828235613612302_nobc_ops.h5,20190313,t1156064,e1157309,b06812_c20200828235613612302,3,4.0807e-08; -0.00011455; 0.12827;,0
SVDNB_j01_d20190313_t1335408_e1337053_b06813_c20200828220408042545_nobc_ops.h5,20190313,t1335408,e1337053,b06813_c20200828220408042545,3,4.9915e-08; -0.00013882; 0.15025;,0
SVDNB_j01_d20190313_t1156064_e1157309_b06812_c20200828235613612302_nobc_ops.h5,20190313,t1156064,e1157309,b06812_c20200828235613612302,3,3.6841e-08; -0.00010648; 0.12389;,0
SVDNB_j01_d20190313_t1335408_e1337053_b06813_c20200828220408042545_nobc_ops.h5,20190313,t1335408,e1337053,b06813_c20200828220408042545,3,4.8003e-08; -0.00013494; 0.14814;,0
SVDNB_j01_d20190313_t1156064_e1157309_b06812_c20200828235613612302_nobc_ops.h5,20190313,t1156064,e1157309,b06812_c20200828235613612302,3,3.7197e-08; -0.0001072; 0.12428;,0
SVDNB_j01_d20190313_t1335408_e1337053_b06813_c20200828220408042545_nobc_ops.h5,20190313,t1335408,e1337053,b06813_c20200828220408042545,3,4.8403e-08; -0.00013575; 0.14859;,0
SVDNB_j01_d20190313_t1156064_e1157309_b06812_c20200828235613612302_nobc_ops.h5,20190313,t1156064,e1157309,b06812_c20200828235613612302,3,3.8336e-08; -0.00010953; 0.12556;,0
SVDNB_j01_d20190313_t1335408_e1337053_b06813_c20200828220408042545_nobc_ops.h5,20190313,t1335408,e1337053,b06813_c20200828220408042545,3,4.9557e-08; -0.00013811; 0.14988;,0
SVDNB_j01_d20190313_t1156064_e1157309_b06812_c20200828235613612302_nobc_ops.h5,20190313,t1156064,e1157309,b06812_c20200828235613612302,3,3.6841e-08; -0.00010648; 0.12389;,0
SVDNB_j01_d20190313_t1335408_e1337053_b06813_c20200828220408042545_nobc_ops.h5,20190313,t1335408,e1337053,b06813_c20200828220408042545,3,4.8003e-08; -0.00013494; 0.14814; ,0
